Filepath,Noisepath,Emotion
../dataset/mlend/MLEndSND_Public/11093.wav,augmented_noise\11093_noise.wav,Question
../dataset/crema-d/AudioWAV/1011_TAI_ANG_XX.wav,augmented_noise\1011_TAI_ANG_XX_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/27019.wav,augmented_noise\27019_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/23420.wav,augmented_noise\23420_noise.wav,Bored
../dataset/crema-d/AudioWAV/1077_ITH_ANG_XX.wav,augmented_noise\1077_ITH_ANG_XX_noise.wav,Anger
../dataset/tess/YAF_fear/YAF_pad_fear.wav,augmented_noise\YAF_pad_fear_noise.wav,Fear
../dataset/meld/train/dia954_utt2.mp4,augmented_noise\dia954_utt2_noise.wav,Neutral
../dataset/tess/OAF_angry/OAF_check_angry.wav,augmented_noise\OAF_check_angry_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/01160.wav,augmented_noise\01160_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/08931.wav,augmented_noise\08931_noise.wav,Bored
../dataset/meld/train/dia110_utt0.mp4,augmented_noise\dia110_utt0_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1079_TSI_SAD_XX.wav,augmented_noise\1079_TSI_SAD_XX_noise.wav,Sad
../dataset/esd/0014/Neutral/0014_000216.wav,augmented_noise\0014_000216_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/20933.wav,augmented_noise\20933_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/32461.wav,augmented_noise\32461_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1009_ITS_DIS_XX.wav,augmented_noise\1009_ITS_DIS_XX_noise.wav,Disgust
../dataset/mlend/MLEndSND_Public/00304.wav,augmented_noise\00304_noise.wav,Neutral
../dataset/meld/train/dia915_utt5.mp4,augmented_noise\dia915_utt5_noise.wav,Neutral
../dataset/meld/train/dia562_utt6.mp4,augmented_noise\dia562_utt6_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/21215.wav,augmented_noise\21215_noise.wav,Happy
../dataset/esd/0019/Neutral/0019_000063.wav,augmented_noise\0019_000063_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1017_IEO_FEA_LO.wav,augmented_noise\1017_IEO_FEA_LO_noise.wav,Fear
../dataset/esd/0016/Surprise/0016_001661.wav,augmented_noise\0016_001661_noise.wav,Surprise
../dataset/tess/YAF_angry/YAF_live_angry.wav,augmented_noise\YAF_live_angry_noise.wav,Anger
../dataset/ravdess/Actor_16/03-01-03-01-02-02-16.wav,augmented_noise\03-01-03-01-02-02-16_noise.wav,Happy
../dataset/esd/0018/Surprise/0018_001552.wav,augmented_noise\0018_001552_noise.wav,Surprise
../dataset/mlend/MLEndSND_Public/09988.wav,augmented_noise\09988_noise.wav,Bored
../dataset/esd/0019/Sad/0019_001386.wav,augmented_noise\0019_001386_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/28053.wav,augmented_noise\28053_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/07002.wav,augmented_noise\07002_noise.wav,Question
../dataset/meld/train/dia827_utt1.mp4,augmented_noise\dia827_utt1_noise.wav,Happy
../dataset/meld/train/dia961_utt3.mp4,augmented_noise\dia961_utt3_noise.wav,Anger
../dataset/esd/0020/Angry/0020_000669.wav,augmented_noise\0020_000669_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/27233.wav,augmented_noise\27233_noise.wav,Question
../dataset/mlend/MLEndSND_Public/04728.wav,augmented_noise\04728_noise.wav,Happy
../dataset/crema-d/AudioWAV/1073_DFA_DIS_XX.wav,augmented_noise\1073_DFA_DIS_XX_noise.wav,Disgust
../dataset/mlend/MLEndSND_Public/27175.wav,augmented_noise\27175_noise.wav,Happy
../dataset/tess/YAF_angry/YAF_pole_angry.wav,augmented_noise\YAF_pole_angry_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/03585.wav,augmented_noise\03585_noise.wav,Question
../dataset/esd/0013/Angry/0013_000445.wav,augmented_noise\0013_000445_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/24644.wav,augmented_noise\24644_noise.wav,Happy
../dataset/tess/YAF_fear/YAF_cause_fear.wav,augmented_noise\YAF_cause_fear_noise.wav,Fear
../dataset/esd/0019/Neutral/0019_000187.wav,augmented_noise\0019_000187_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/23854.wav,augmented_noise\23854_noise.wav,Bored
../dataset/crema-d/AudioWAV/1077_TIE_SAD_XX.wav,augmented_noise\1077_TIE_SAD_XX_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/11468.wav,augmented_noise\11468_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/41356.wav,augmented_noise\41356_noise.wav,Happy
../dataset/crema-d/AudioWAV/1037_IEO_DIS_LO.wav,augmented_noise\1037_IEO_DIS_LO_noise.wav,Disgust
../dataset/mlend/MLEndSND_Public/46042.wav,augmented_noise\46042_noise.wav,Question
