Filepath,Pitchpath,Emotion
../dataset/mlend/MLEndSND_Public/11093.wav,augmented_pitch\11093_pitch.wav,Question
../dataset/crema-d/AudioWAV/1011_TAI_ANG_XX.wav,augmented_pitch\1011_TAI_ANG_XX_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/27019.wav,augmented_pitch\27019_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/23420.wav,augmented_pitch\23420_pitch.wav,Bored
../dataset/crema-d/AudioWAV/1077_ITH_ANG_XX.wav,augmented_pitch\1077_ITH_ANG_XX_pitch.wav,Anger
../dataset/tess/YAF_fear/YAF_pad_fear.wav,augmented_pitch\YAF_pad_fear_pitch.wav,Fear
../dataset/meld/train/dia954_utt2.mp4,augmented_pitch\dia954_utt2_pitch.wav,Neutral
../dataset/tess/OAF_angry/OAF_check_angry.wav,augmented_pitch\OAF_check_angry_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/01160.wav,augmented_pitch\01160_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/08931.wav,augmented_pitch\08931_pitch.wav,Bored
../dataset/meld/train/dia110_utt0.mp4,augmented_pitch\dia110_utt0_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1079_TSI_SAD_XX.wav,augmented_pitch\1079_TSI_SAD_XX_pitch.wav,Sad
../dataset/esd/0014/Neutral/0014_000216.wav,augmented_pitch\0014_000216_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/20933.wav,augmented_pitch\20933_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/32461.wav,augmented_pitch\32461_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1009_ITS_DIS_XX.wav,augmented_pitch\1009_ITS_DIS_XX_pitch.wav,Disgust
../dataset/mlend/MLEndSND_Public/00304.wav,augmented_pitch\00304_pitch.wav,Neutral
../dataset/meld/train/dia915_utt5.mp4,augmented_pitch\dia915_utt5_pitch.wav,Neutral
