Filepath,Timepath,Emotion
../dataset/mlend/MLEndSND_Public/11093.wav,augmented_time\11093_time.wav,Question
../dataset/crema-d/AudioWAV/1011_TAI_ANG_XX.wav,augmented_time\1011_TAI_ANG_XX_time.wav,Anger
../dataset/mlend/MLEndSND_Public/27019.wav,augmented_time\27019_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/23420.wav,augmented_time\23420_time.wav,Bored
../dataset/crema-d/AudioWAV/1077_ITH_ANG_XX.wav,augmented_time\1077_ITH_ANG_XX_time.wav,Anger
../dataset/tess/YAF_fear/YAF_pad_fear.wav,augmented_time\YAF_pad_fear_time.wav,Fear
../dataset/meld/train/dia954_utt2.mp4,augmented_time\dia954_utt2_time.wav,Neutral
../dataset/tess/OAF_angry/OAF_check_angry.wav,augmented_time\OAF_check_angry_time.wav,Anger
../dataset/mlend/MLEndSND_Public/01160.wav,augmented_time\01160_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/08931.wav,augmented_time\08931_time.wav,Bored
../dataset/meld/train/dia110_utt0.mp4,augmented_time\dia110_utt0_time.wav,Neutral
../dataset/crema-d/AudioWAV/1079_TSI_SAD_XX.wav,augmented_time\1079_TSI_SAD_XX_time.wav,Sad
../dataset/esd/0014/Neutral/0014_000216.wav,augmented_time\0014_000216_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/20933.wav,augmented_time\20933_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/32461.wav,augmented_time\32461_time.wav,Neutral
../dataset/crema-d/AudioWAV/1009_ITS_DIS_XX.wav,augmented_time\1009_ITS_DIS_XX_time.wav,Disgust
../dataset/mlend/MLEndSND_Public/00304.wav,augmented_time\00304_time.wav,Neutral
../dataset/meld/train/dia915_utt5.mp4,augmented_time\dia915_utt5_time.wav,Neutral
../dataset/meld/train/dia562_utt6.mp4,augmented_time\dia562_utt6_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/21215.wav,augmented_time\21215_time.wav,Happy
../dataset/esd/0019/Neutral/0019_000063.wav,augmented_time\0019_000063_time.wav,Neutral
../dataset/crema-d/AudioWAV/1017_IEO_FEA_LO.wav,augmented_time\1017_IEO_FEA_LO_time.wav,Fear
../dataset/esd/0016/Surprise/0016_001661.wav,augmented_time\0016_001661_time.wav,Surprise
../dataset/tess/YAF_angry/YAF_live_angry.wav,augmented_time\YAF_live_angry_time.wav,Anger
../dataset/ravdess/Actor_16/03-01-03-01-02-02-16.wav,augmented_time\03-01-03-01-02-02-16_time.wav,Happy
../dataset/esd/0018/Surprise/0018_001552.wav,augmented_time\0018_001552_time.wav,Surprise
../dataset/mlend/MLEndSND_Public/09988.wav,augmented_time\09988_time.wav,Bored
../dataset/esd/0019/Sad/0019_001386.wav,augmented_time\0019_001386_time.wav,Sad
../dataset/mlend/MLEndSND_Public/28053.wav,augmented_time\28053_time.wav,Bored
../dataset/mlend/MLEndSND_Public/07002.wav,augmented_time\07002_time.wav,Question
../dataset/meld/train/dia827_utt1.mp4,augmented_time\dia827_utt1_time.wav,Happy
../dataset/meld/train/dia961_utt3.mp4,augmented_time\dia961_utt3_time.wav,Anger
../dataset/esd/0020/Angry/0020_000669.wav,augmented_time\0020_000669_time.wav,Anger
../dataset/mlend/MLEndSND_Public/27233.wav,augmented_time\27233_time.wav,Question
../dataset/mlend/MLEndSND_Public/04728.wav,augmented_time\04728_time.wav,Happy
